Accounting & Legal
Aerospace & Defense
Agriculture & Forestry
"Arts, Entertainment & Recreation"
Biotech & Pharmaceuticals
Business Services
"Construction, Repair & Maintenance"
Consumer Services
Education
Finance
Government
Health Care
Information Technology
Insurance
Manufacturing
Media
Mining & Metals
Non-Profit
"Oil, Gas, Energy & Utilities"
Real Estate
"Restaurants, Bars & Food Services"
Retail
Telecommunications
Transportation & Logistics
Travel & Tourism
Unknown
